Well,Konzentration [mM],Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340)
,Time [s],0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,192,198,204,210,216,222,228,234,240,246,252,258,264,270,276,282,288,294
,0,0.603,0.608,0.622,0.636,0.644,0.669,0.679,0.688,0.702,0.716,0.729,0.735,0.754,0.761,0.777,0.795,0.801,0.807,0.828,0.842,0.852,0.864,0.887,0.884,0.894,0.92,0.921,0.945,0.949,0.963,0.972,0.994,1.007,1.014,1.029,1.039,1.06,1.071,1.089,1.096,1.116,1.129,1.134,1.154,1.158,1.172,1.185,1.212,1.22,1.232
,0,0.611,0.626,0.631,0.646,0.661,0.682,0.69,0.699,0.713,0.725,0.747,0.748,0.764,0.775,0.79,0.811,0.826,0.823,0.826,0.846,0.865,0.882,0.909,0.914,0.92,0.941,0.937,0.959,0.975,0.98,0.995,1.014,1.028,1.031,1.054,1.062,1.076,1.084,1.109,1.111,1.123,1.137,1.144,1.158,1.177,1.179,1.197,1.217,1.228,1.236
,0.1,0.872,0.881,0.891,0.91,0.914,0.936,0.928,0.952,0.965,0.978,0.994,0.992,1.017,1.011,1.044,1.055,1.066,1.067,1.084,1.097,1.108,1.127,1.135,1.134,1.147,1.17,1.183,1.188,1.201,1.202,1.223,1.242,1.251,1.252,1.272,1.281,1.302,1.318,1.329,1.332,1.342,1.353,1.381,1.369,1.387,1.404,1.402,1.426,1.44,1.441
,0.1,0.863,0.87,0.883,0.899,0.901,0.93,0.929,0.939,0.958,0.966,0.986,0.991,1.018,1.019,1.032,1.051,1.054,1.047,1.078,1.086,1.095,1.112,1.123,1.135,1.142,1.166,1.169,1.19,1.198,1.203,1.22,1.224,1.246,1.238,1.262,1.272,1.297,1.306,1.312,1.326,1.336,1.338,1.357,1.365,1.377,1.391,1.392,1.431,1.418,1.433
,0.2,1.126,1.145,1.154,1.168,1.171,1.196,1.191,1.215,1.232,1.236,1.239,1.248,1.27,1.27,1.28,1.3,1.305,1.307,1.331,1.338,1.346,1.366,1.377,1.389,1.383,1.402,1.409,1.434,1.442,1.445,1.456,1.476,1.5,1.479,1.508,1.507,1.546,1.522,1.546,1.553,1.559,1.582,1.595,1.587,1.616,1.625,1.633,1.658,1.652,1.665
,0.2,1.139,1.149,1.151,1.181,1.183,1.2,1.2,1.216,1.232,1.236,1.251,1.261,1.269,1.283,1.296,1.308,1.318,1.323,1.334,1.346,1.352,1.382,1.4,1.391,1.392,1.442,1.424,1.442,1.441,1.459,1.463,1.49,1.496,1.491,1.512,1.519,1.547,1.55,1.57,1.57,1.565,1.595,1.608,1.607,1.63,1.637,1.629,1.676,1.677,1.68
,0.3,1.374,1.383,1.389,1.408,1.407,1.432,1.421,1.458,1.46,1.465,1.479,1.486,1.499,1.51,1.516,1.556,1.55,1.553,1.571,1.579,1.599,1.602,1.619,1.602,1.616,1.636,1.672,1.663,1.69,1.691,1.683,1.719,1.719,1.699,1.726,1.738,1.779,1.77,1.791,1.799,1.764,1.792,1.836,1.819,1.833,1.83,1.838,1.887,1.909,1.881
,0.3,1.392,1.409,1.424,1.427,1.434,1.451,1.458,1.469,1.478,1.486,1.504,1.514,1.527,1.541,1.548,1.559,1.581,1.565,1.585,1.573,1.601,1.629,1.657,1.634,1.649,1.675,1.67,1.683,1.714,1.707,1.701,1.737,1.741,1.72,1.774,1.76,1.81,1.814,1.782,1.805,1.78,1.834,1.842,1.842,1.849,1.854,1.852,1.913,1.888,1.891
,0.4,1.49,1.472,1.502,1.502,1.53,1.502,1.51,1.538,1.554,1.566,1.573,1.576,1.581,1.594,1.628,1.623,1.634,1.643,1.662,1.7,1.671,1.698,1.715,1.707,1.722,1.756,1.748,1.781,1.783,1.79,1.801,1.792,1.806,1.857,1.847,1.845,1.863,1.86,1.89,1.919,1.926,1.96,1.947,1.951,1.949,1.964,1.989,1.968,2.008,1.993
,0.4,1.461,1.462,1.471,1.476,1.49,1.505,1.51,1.538,1.519,1.544,1.549,1.572,1.589,1.583,1.6,1.618,1.619,1.639,1.634,1.687,1.695,1.685,1.703,1.699,1.716,1.752,1.741,1.769,1.757,1.81,1.785,1.786,1.778,1.834,1.843,1.825,1.865,1.861,1.878,1.87,1.894,1.92,1.95,1.907,1.952,1.951,1.918,1.917,1.991,2.009
,0.5,1.713,1.705,1.74,1.753,1.76,1.76,1.766,1.798,1.791,1.801,1.812,1.825,1.875,1.865,1.882,1.887,1.865,1.902,1.894,1.966,1.934,1.946,1.966,1.961,1.937,2.009,2.013,1.996,2.004,2.031,2.008,2.051,2.035,2.115,2.119,2.067,2.099,2.114,2.175,2.114,2.108,2.159,2.218,2.208,2.198,2.188,2.227,2.21,2.154,2.255
,0.5,1.759,1.769,1.786,1.789,1.81,1.808,1.815,1.857,1.823,1.829,1.857,1.825,1.921,1.895,1.913,1.915,1.923,1.899,1.908,1.985,1.94,1.971,1.999,1.965,2.004,2.027,2.042,2.051,2.033,2.081,2.034,2.038,2.036,2.131,2.103,2.131,2.086,2.119,2.211,2.143,2.161,2.143,2.248,2.182,2.211,2.187,2.285,2.231,2.211,2.294
,0.6 ,1.994,1.962,2.023,2.037,2.093,2.015,2.043,2.08,2.076,2.075,2.116,2.067,2.161,2.14,2.137,2.126,2.213,2.151,2.077,2.215,2.205,2.216,2.298,2.213,2.189,2.364,2.293,2.312,2.231,2.377,2.283,2.246,2.256,2.418,2.311,2.358,2.376,2.371,2.414,2.329,2.361,2.397,2.456,2.349,2.462,2.468,2.465,2.414,2.364,2.547
,0.6,1.985,1.963,2.022,2.034,2.044,1.999,2.034,2.046,2.018,2.063,2.06,2.044,2.123,2.135,2.203,2.1,2.15,2.118,2.114,2.219,2.179,2.189,2.239,2.153,2.173,2.231,2.248,2.27,2.258,2.296,2.238,2.275,2.335,2.379,2.261,2.371,2.332,2.322,2.455,2.362,2.377,2.351,2.406,2.398,2.474,2.486,2.414,2.436,2.343,2.396
