Well,Konzentration [mM],Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),
,Time [s],0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,192,198,204,210,216,222,228,234,240,246,252,258,264,270,276,282,288,294,
,0,0.241,0.246,0.242,0.243,0.232,0.238,0.251,0.245,0.246,0.246,0.227,0.246,0.243,0.248,0.252,0.248,0.249,0.246,0.243,0.252,0.242,0.24,0.252,0.249,0.246,0.243,0.237,0.25,0.24,0.246,0.241,0.244,0.253,0.245,0.253,0.255,0.25,0.245,0.245,0.236,0.246,0.246,0.247,0.244,0.242,0.245,0.25,0.249,0.253,0.24,
,0,0.254,0.24,0.246,0.239,0.238,0.242,0.242,0.239,0.256,0.236,0.223,0.239,0.248,0.239,0.24,0.245,0.239,0.251,0.245,0.248,0.243,0.237,0.246,0.25,0.245,0.239,0.232,0.243,0.243,0.246,0.239,0.236,0.241,0.244,0.249,0.254,0.243,0.252,0.24,0.242,0.247,0.247,0.242,0.24,0.239,0.239,0.247,0.239,0.244,0.25,
,100,0.269,0.268,0.282,0.274,0.295,0.29,0.309,0.312,0.333,0.327,0.314,0.328,0.353,0.34,0.362,0.366,0.372,0.386,0.383,0.402,0.397,0.401,0.403,0.419,0.424,0.432,0.432,0.443,0.446,0.455,0.453,0.46,0.476,0.478,0.492,0.497,0.504,0.506,0.52,0.521,0.533,0.538,0.535,0.545,0.543,0.558,0.568,0.577,0.59,0.593,
,100,0.257,0.277,0.287,0.285,0.292,0.302,0.313,0.3,0.331,0.325,0.32,0.351,0.354,0.347,0.354,0.371,0.373,0.383,0.379,0.392,0.396,0.399,0.413,0.418,0.419,0.423,0.439,0.444,0.44,0.45,0.461,0.461,0.466,0.478,0.49,0.502,0.493,0.5,0.512,0.523,0.52,0.534,0.536,0.548,0.55,0.561,0.566,0.575,0.585,0.582,
,200,0.283,0.291,0.303,0.32,0.332,0.335,0.352,0.35,0.368,0.353,0.358,0.391,0.397,0.402,0.407,0.415,0.424,0.441,0.434,0.459,0.454,0.461,0.48,0.485,0.49,0.5,0.505,0.523,0.525,0.539,0.548,0.555,0.563,0.573,0.587,0.602,0.597,0.615,0.624,0.622,0.63,0.644,0.657,0.655,0.658,0.681,0.696,0.702,0.711,0.713,
,200,0.29,0.301,0.315,0.314,0.33,0.34,0.351,0.357,0.375,0.369,0.368,0.388,0.408,0.405,0.427,0.426,0.426,0.443,0.446,0.46,0.465,0.477,0.481,0.492,0.513,0.511,0.52,0.525,0.533,0.55,0.555,0.558,0.572,0.584,0.593,0.612,0.612,0.62,0.635,0.638,0.649,0.661,0.67,0.671,0.684,0.701,0.711,0.714,0.732,0.737,
,300,0.302,0.315,0.329,0.332,0.337,0.353,0.363,0.369,0.392,0.406,0.396,0.416,0.435,0.42,0.453,0.444,0.456,0.47,0.47,0.488,0.487,0.499,0.515,0.525,0.531,0.544,0.552,0.56,0.562,0.582,0.59,0.599,0.612,0.624,0.643,0.651,0.655,0.666,0.674,0.684,0.694,0.702,0.713,0.719,0.728,0.747,0.748,0.771,0.781,0.782,
,300,0.325,0.334,0.348,0.348,0.368,0.383,0.395,0.398,0.409,0.423,0.419,0.436,0.457,0.462,0.473,0.477,0.489,0.504,0.511,0.528,0.531,0.545,0.561,0.572,0.58,0.585,0.594,0.608,0.617,0.632,0.639,0.651,0.677,0.68,0.693,0.706,0.709,0.721,0.741,0.739,0.754,0.764,0.774,0.782,0.796,0.811,0.833,0.837,0.856,0.844,
,400,0.291,0.303,0.314,0.313,0.334,0.343,0.348,0.374,0.374,0.387,0.389,0.403,0.424,0.409,0.431,0.434,0.444,0.453,0.463,0.467,0.481,0.491,0.498,0.512,0.519,0.534,0.553,0.551,0.562,0.579,0.588,0.591,0.597,0.608,0.624,0.626,0.649,0.649,0.659,0.674,0.688,0.69,0.706,0.701,0.721,0.733,0.739,0.762,0.763,0.777,
,400,0.3,0.292,0.321,0.317,0.334,0.349,0.366,0.402,0.369,0.377,0.389,0.4,0.411,0.417,0.422,0.45,0.451,0.467,0.47,0.474,0.488,0.501,0.505,0.527,0.522,0.541,0.545,0.559,0.571,0.576,0.597,0.597,0.601,0.609,0.618,0.636,0.657,0.655,0.667,0.675,0.677,0.689,0.703,0.707,0.72,0.73,0.735,0.762,0.762,0.775,
