Well,Konzentration [mM],Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340),Raw Data  (340)
,Time [s],0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,192,198,204,210,216,222,228,234,240,246,252,258,264,270,276,282,288,294
,0,0.163,0.156,0.163,0.162,0.164,0.154,0.168,0.157,0.158,0.162,0.155,0.148,0.158,0.16,0.143,0.155,0.161,0.163,0.163,0.153,0.148,0.145,0.15,0.147,0.151,0.136,0.14,0.145,0.145,0.144,0.143,0.15,0.145,0.142,0.144,0.147,0.153,0.143,0.145,0.142,0.143,0.153,0.146,0.152,0.149,0.152,0.146,0.144,0.149,0.151
,0,0.135,0.158,0.144,0.155,0.15,0.147,0.172,0.157,0.153,0.166,0.152,0.148,0.146,0.159,0.146,0.148,0.156,0.153,0.155,0.148,0.151,0.157,0.146,0.149,0.145,0.141,0.151,0.152,0.148,0.143,0.146,0.155,0.143,0.147,0.138,0.138,0.154,0.134,0.143,0.137,0.142,0.148,0.142,0.15,0.145,0.145,0.141,0.147,0.137,0.135
,1,0.193,0.209,0.205,0.205,0.216,0.221,0.232,0.228,0.233,0.255,0.242,0.237,0.261,0.252,0.248,0.258,0.273,0.28,0.288,0.285,0.295,0.296,0.296,0.301,0.305,0.308,0.323,0.326,0.327,0.329,0.324,0.344,0.342,0.351,0.357,0.348,0.361,0.36,0.369,0.368,0.373,0.383,0.382,0.392,0.388,0.401,0.389,0.408,0.412,0.416
,1,0.198,0.203,0.188,0.204,0.227,0.225,0.233,0.234,0.231,0.258,0.245,0.242,0.252,0.256,0.25,0.265,0.271,0.276,0.282,0.278,0.281,0.285,0.289,0.289,0.295,0.298,0.31,0.308,0.319,0.324,0.325,0.339,0.326,0.334,0.334,0.344,0.35,0.349,0.358,0.355,0.361,0.376,0.374,0.382,0.382,0.382,0.387,0.389,0.392,0.406
,2,0.223,0.245,0.237,0.248,0.275,0.264,0.284,0.293,0.29,0.302,0.308,0.297,0.332,0.333,0.326,0.327,0.346,0.349,0.362,0.356,0.369,0.378,0.38,0.381,0.389,0.398,0.409,0.408,0.421,0.428,0.431,0.446,0.448,0.444,0.453,0.455,0.473,0.472,0.482,0.485,0.497,0.509,0.504,0.526,0.525,0.53,0.529,0.541,0.553,0.555
,2,0.22,0.241,0.237,0.243,0.264,0.268,0.276,0.281,0.286,0.3,0.299,0.306,0.304,0.324,0.322,0.326,0.34,0.348,0.361,0.362,0.371,0.374,0.373,0.377,0.388,0.385,0.411,0.409,0.416,0.425,0.43,0.446,0.444,0.446,0.452,0.457,0.472,0.458,0.478,0.48,0.491,0.501,0.503,0.514,0.516,0.523,0.529,0.537,0.546,0.552
,3,0.28,0.265,0.311,0.305,0.345,0.292,0.316,0.321,0.319,0.337,0.348,0.352,0.351,0.358,0.372,0.383,0.399,0.398,0.415,0.422,0.429,0.434,0.437,0.438,0.453,0.466,0.474,0.477,0.493,0.498,0.507,0.522,0.512,0.535,0.538,0.544,0.555,0.555,0.57,0.575,0.586,0.592,0.602,0.621,0.62,0.635,0.628,0.636,0.649,0.656
,3,0.248,0.271,0.26,0.277,0.3,0.293,0.313,0.315,0.32,0.336,0.342,0.342,0.345,0.373,0.365,0.375,0.383,0.398,0.41,0.41,0.427,0.427,0.44,0.446,0.45,0.463,0.466,0.472,0.485,0.493,0.507,0.515,0.519,0.527,0.543,0.541,0.562,0.546,0.569,0.57,0.586,0.597,0.601,0.619,0.624,0.621,0.625,0.631,0.651,0.66
,0.5,0.181,0.195,0.189,0.181,0.18,0.197,0.189,0.193,0.207,0.204,0.208,0.21,0.211,0.226,0.215,0.214,0.221,0.225,0.218,0.22,0.23,0.225,0.234,0.234,0.229,0.231,0.245,0.242,0.243,0.255,0.254,0.249,0.255,0.261,0.257,0.263,0.269,0.277,0.282,0.276,0.274,0.276,0.284,0.289,0.284,0.279,0.282,0.295,0.301,0.306
