,reaction,rates,c1,c2
0,1,0.022898245373005506,1.0,500.0
1,1,0.021928447566311352,1.0,500.0
2,1,0.031796756339211765,2.0,500.0
3,1,0.03467860692173486,2.0,500.0
4,1,0.03877596641444188,3.0,500.0
5,1,0.03964936428967837,3.0,500.0
6,1,0.04204269191128083,4.0,500.0
7,1,0.045990015420441004,4.0,500.0
8,1,0.050625185057069574,5.0,500.0
9,1,0.05007505311739779,5.0,500.0
10,1,0.05241329506388157,6.0,500.0
11,1,0.050983241945340804,6.0,500.0
12,1,0.05032801233603476,7.0,500.0
13,1,0.05330916209607437,7.0,500.0
14,1,0.016043702878307052,5.0,25.0
15,1,0.011647721041535775,5.0,25.0
16,1,0.018823355037254758,5.0,50.0
17,1,0.02078759424214351,5.0,50.0
18,1,0.023196867717069764,5.0,75.0
19,1,0.022343039752730668,5.0,75.0
20,1,0.025898240232427806,5.0,100.0
21,1,0.029659287182305167,5.0,100.0
22,1,0.03400743145910498,5.0,200.0
23,1,0.03650585675034168,5.0,200.0
24,1,0.03983056716835816,5.0,350.0
25,1,0.0424101713492434,5.0,350.0
26,1,0.04215648731909171,5.0,650.0
27,1,0.04130193454323793,5.0,650.0
