,reaction,rates,c1,c2,c3
0,2,0.2901821418695864,100.0,0.6,0.0
1,2,0.2824607457048253,100.0,0.6,0.0
2,2,0.3658644945289172,200.0,0.6,0.0
3,2,0.3745808775546781,200.0,0.6,0.0
4,2,0.38824610908758295,300.0,0.6,0.0
5,2,0.3880784146728077,300.0,0.6,0.0
6,2,0.46770817173244855,400.0,0.6,0.0
7,2,0.45657090823063895,400.0,0.6,0.0
8,2,0.5146895016768642,500.0,0.6,0.0
9,2,0.45503473395452726,500.0,0.6,0.0
10,2,0.32468750185927286,150.0,0.6,0.0
11,2,0.34865466533379297,150.0,0.6,0.0
12,2,0.06689143878255895,300.0,0.1,0.0
13,2,0.07074841032238895,300.0,0.1,0.0
14,2,0.10867716040199245,300.0,0.15,0.0
15,2,0.10155201104532091,300.0,0.15,0.0
16,2,0.15641789701722145,300.0,0.2,0.0
17,2,0.15964880940855736,300.0,0.2,0.0
18,2,0.21923622479201785,300.0,0.3,0.0
19,2,0.2238683171823645,300.0,0.3,0.0
20,2,0.2806980910784104,300.0,0.4,0.0
21,2,0.3040299739874688,300.0,0.4,0.0
22,2,0.33575030417783874,300.0,0.5,0.0
23,2,0.308300591750411,300.0,0.5,0.0
24,2,0.44667456973781894,300.0,0.6,0.0
25,2,0.43152244772724063,300.0,0.6,0.0
26,2,0.3660061031458386,300.0,0.6,100.0
27,2,0.3465051059787562,300.0,0.6,100.0
28,2,0.3364508941773442,300.0,0.6,200.0
29,2,0.3475597175205645,300.0,0.6,200.0
30,2,0.283582435012544,300.0,0.6,300.0
31,2,0.2928093543677313,300.0,0.6,300.0
32,2,0.3729598315451841,300.0,0.6,50.0
33,2,0.3671836905918155,300.0,0.6,50.0
34,2,0.31459844866085823,300.0,0.6,150.0
35,2,0.3063292507411645,300.0,0.6,150.0
36,2,0.1989601067744188,300.0,0.6,400.0
37,2,0.22587692361711645,300.0,0.6,400.0
38,2,0.22381987212920704,300.0,0.6,500.0
39,2,0.20671876836468553,300.0,0.6,500.0
