,Vmax,Km1,Km2
0,100.0,2.0,3.0
1,100.0,2.0,3.0
2,100.0,2.0,3.0
3,100.0,2.0,3.0
4,100.0,2.0,3.0
5,100.0,2.0,3.0
6,100.0,2.0,3.0
7,100.0,2.0,3.0
8,100.0,2.0,3.0
9,100.0,2.0,3.0
10,100.0,2.0,3.0
11,100.0,2.0,3.0
12,100.0,2.0,3.0
13,100.0,2.0,3.0
14,100.0,2.0,3.0
15,100.0,2.0,3.0
16,100.0,2.0,3.0
17,100.0,2.0,3.0
18,100.0,2.0,3.0
19,100.0,2.0,3.0
20,100.0,2.0,3.0
21,100.0,2.0,3.0
22,100.0,2.0,3.0
23,100.0,2.0,3.0
24,100.0,2.0,3.0
25,100.0,2.0,3.0
26,100.0,2.0,3.0
27,100.0,2.0,3.0
28,100.0,2.0,3.0
29,100.0,2.0,3.0
30,100.0,2.0,3.0
31,100.0,2.0,3.0
32,100.0,2.0,3.0
33,100.0,2.0,3.0
34,100.0,2.0,3.0
35,100.0,2.0,3.0
36,100.0,2.0,3.0
37,100.0,2.0,3.0
38,100.0,2.0,3.0
39,100.0,2.0,3.0
40,100.0,2.0,3.0
41,100.0,2.0,3.0
42,100.0,2.0,3.0
43,100.0,2.0,3.0
44,100.0,2.0,3.0
45,100.0,2.0,3.0
46,100.0,2.0,3.0
47,100.0,2.0,3.0
48,100.0,2.0,3.0
49,100.0,2.0,3.0
50,100.0,2.0,3.0
51,100.0,2.0,3.0
52,100.0,2.0,3.0
53,100.0,2.0,3.0
54,100.0,2.0,3.0
55,100.0,2.0,3.0
56,100.0,2.0,3.0
57,100.0,2.0,3.0
58,100.0,2.0,3.0
59,100.0,2.0,3.0
60,100.0,2.0,3.0
61,100.0,2.0,3.0
62,100.0,2.0,3.0
63,100.0,2.0,3.0
64,100.0,2.0,3.0
65,100.0,2.0,3.0
66,100.0,2.0,3.0
67,100.0,2.0,3.0
68,100.0,2.0,3.0
69,100.0,2.0,3.0
70,100.0,2.0,3.0
71,100.0,2.0,3.0
72,100.0,2.0,3.0
73,100.0,2.0,3.0
74,100.0,2.0,3.0
75,100.0,2.0,3.0
76,100.0,2.0,3.0
77,100.0,2.0,3.0
78,100.0,2.0,3.0
79,100.0,2.0,3.0
80,100.0,2.0,3.0
81,100.0,2.0,3.0
82,100.0,2.0,3.0
83,100.0,2.0,3.0
84,100.0,2.0,3.0
85,100.0,2.0,3.0
86,100.0,2.0,3.0
87,100.0,2.0,3.0
88,100.0,2.0,3.0
89,100.0,2.0,3.0
90,100.0,2.0,3.0
91,100.0,2.0,3.0
92,100.0,2.0,3.0
93,100.0,2.0,3.0
94,100.0,2.0,3.0
95,100.0,2.0,3.0
96,100.0,2.0,3.0
97,100.0,2.0,3.0
98,100.0,2.0,3.0
99,100.0,2.0,3.0
100,100.0,2.0,3.0
101,100.0,2.0,3.0
102,100.0,2.0,3.0
103,100.0,2.0,3.0
104,100.0,2.0,3.0
105,100.0,2.0,3.0
106,100.0,2.0,3.0
107,100.0,2.0,3.0
108,100.0,2.0,3.0
109,100.0,2.0,3.0
110,100.0,2.0,3.0
111,100.0,2.0,3.0
112,100.0,2.0,3.0
113,100.0,2.0,3.0
114,100.0,2.0,3.0
115,100.0,2.0,3.0
116,100.0,2.0,3.0
117,100.0,2.0,3.0
118,100.0,2.0,3.0
119,100.0,2.0,3.0
120,100.0,2.0,3.0
121,100.0,2.0,3.0
122,100.0,2.0,3.0
123,100.0,2.0,3.0
124,100.0,2.0,3.0
125,100.0,2.0,3.0
126,100.0,2.0,3.0
127,100.0,2.0,3.0
128,100.0,2.0,3.0
129,100.0,2.0,3.0
130,100.0,2.0,3.0
131,100.0,2.0,3.0
132,100.0,2.0,3.0
133,100.0,2.0,3.0
134,100.0,2.0,3.0
135,100.0,2.0,3.0
136,100.0,2.0,3.0
137,100.0,2.0,3.0
138,100.0,2.0,3.0
139,100.0,2.0,3.0
140,100.0,2.0,3.0
141,100.0,2.0,3.0
142,100.0,2.0,3.0
143,100.0,2.0,3.0
144,100.0,2.0,3.0
145,100.0,2.0,3.0
146,100.0,2.0,3.0
147,100.0,2.0,3.0
148,100.0,2.0,3.0
149,100.0,2.0,3.0
150,100.0,2.0,3.0
151,100.0,2.0,3.0
152,100.0,2.0,3.0
153,100.0,2.0,3.0
154,100.0,2.0,3.0
155,100.0,2.0,3.0
156,100.0,2.0,3.0
157,100.0,2.0,3.0
158,100.0,2.0,3.0
159,100.0,2.0,3.0
160,100.0,2.0,3.0
161,100.0,2.0,3.0
162,100.0,2.0,3.0
163,100.0,2.0,3.0
164,100.0,2.0,3.0
165,100.0,2.0,3.0
166,100.0,2.0,3.0
167,100.0,2.0,3.0
168,100.0,2.0,3.0
169,100.0,2.0,3.0
170,100.0,2.0,3.0
171,100.0,2.0,3.0
172,100.0,2.0,3.0
173,100.0,2.0,3.0
174,100.0,2.0,3.0
175,100.0,2.0,3.0
176,100.0,2.0,3.0
177,100.0,2.0,3.0
178,100.0,2.0,3.0
179,100.0,2.0,3.0
180,100.0,2.0,3.0
181,100.0,2.0,3.0
182,100.0,2.0,3.0
183,100.0,2.0,3.0
184,100.0,2.0,3.0
185,100.0,2.0,3.0
186,100.0,2.0,3.0
187,100.0,2.0,3.0
188,100.0,2.0,3.0
189,100.0,2.0,3.0
190,100.0,2.0,3.0
191,100.0,2.0,3.0
192,100.0,2.0,3.0
193,100.0,2.0,3.0
194,100.0,2.0,3.0
195,100.0,2.0,3.0
196,100.0,2.0,3.0
197,100.0,2.0,3.0
198,100.0,2.0,3.0
199,100.0,2.0,3.0
200,100.0,2.0,3.0
201,100.0,2.0,3.0
202,100.0,2.0,3.0
203,100.0,2.0,3.0
204,100.0,2.0,3.0
205,100.0,2.0,3.0
206,100.0,2.0,3.0
207,100.0,2.0,3.0
208,100.0,2.0,3.0
209,100.0,2.0,3.0
210,100.0,2.0,3.0
211,100.0,2.0,3.0
212,100.0,2.0,3.0
213,100.0,2.0,3.0
214,100.0,2.0,3.0
215,100.0,2.0,3.0
216,100.0,2.0,3.0
217,100.0,2.0,3.0
218,100.0,2.0,3.0
219,100.0,2.0,3.0
220,100.0,2.0,3.0
221,100.0,2.0,3.0
222,100.0,2.0,3.0
223,100.0,2.0,3.0
224,100.0,2.0,3.0
225,100.0,2.0,3.0
226,100.0,2.0,3.0
227,100.0,2.0,3.0
228,100.0,2.0,3.0
229,100.0,2.0,3.0
